Launch Date,Status,Active/Fatigued,Ad Name,Cost,Leads,CPL,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,RPS,ROAS,Profit,CTR (all),CTR (link),CPM,Impressions,Clicks (all),Link Clicks,Closes,Cash Collected,Revenue,REV ROAS,Impressions,3 Sec Views,Video Plays at 25%,Video Plays at 50%,Video Plays at 75%,Video Plays at 100%,ThruPlays,Clicks,LP Views,Leads,Applications,Qualified Applications,Booked Calls,Shown Calls,Closes,Cash Collected,Revenue
,Loser,,VHK17_LetusHandleStress | VB1_NoBody | VV5_TruckAcrossUSSantaHat,$51.25,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$51.25,8.55%,9.43%,$112.39,456,39,43,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK18_Moving-LetusHelp | VB1_NoBody | VV5_TruckAcrossUSSantaHat,$495.34,9,$55.04,5,$99.07,1,$495.34,1,$495.34,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$495.34,7.65%,7.71%,$91.09,"5,438",416,419,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK14_StressFreeMove | VB1_NoBody | VV6_TruckAcrossUSSledding,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK15_NeedHolidayMove | VB1_NoBody | VV6_TruckAcrossUSSledding,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK16_EnjoyHolidayMove | VB1_NoBody | VV6_TruckAcrossUSSledding,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK17_LetusHandleStress | VB1_NoBody | VV6_TruckAcrossUSSledding,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
,Loser,,VHK18_Moving-LetusHelp | VB1_NoBody | VV6_TruckAcrossUSSledding,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
1/21/2026,Loser,,VHK19_Iassumed | VB5_BiggestWorry | VV7_UGC_CostAngle1_WhiteWoman,$120.92,4,$30.23,4,$30.23,2,$60.46,2,$60.46,1,$120.92,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$120.92,8.25%,9.23%,$107.29,"1,127",93,104,,,,,,,,,,,,,,,,,,,,,
1/21/2026,Loser,,VHK20_Ialmostdidn't | VB5_BiggestWorry | VV7_UGC_CostAngle1_WhiteWoman,$226.41,5,$45.28,4,$56.60,4,$56.60,2,$113.21,0,#DIV/0!,1,$226.41,"$2,173.96","$2,173.96",9.60,"$1,947.55",11.15%,12.61%,$113.72,"1,991",222,251,,,,,,,,,,,,,,,,,,,,,
1/21/2026,Loser,,VHK21_NoOneTellsYou | VB6_MovingOffBecauseCost | VV8_UGC_CostAngle2_WhiteWoman,$289.46,3,$96.49,2,$144.73,1,$289.46,0,#DIV/0!,1,$289.46,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$289.46,7.04%,7.30%,$106.65,"2,714",191,198,,,,,,,,,,,,,,,,,,,,,
