Name,Cost,Cost per Click,Leads,Cost per Lead,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,ROAS,Profit,Ad Set ID,Category ID,Account ID
SC1_LongDistance1597 | SV2_TruckSide2 | CHK1_SaveUpTo50 | CB3_CostSavings | 09-15-2025,108.01,6.75,2,54.01,1,108.01,0,0,-,0,-,0,0,0,0,0,-108.01,120235723649580350,120235716942630350,1400488071021805
SC59_MoveTimelineV2 | SV22_TruckCalendar | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026,26.15,1.31,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-26.15,120242664785190350,120235716942630350,1400488071021805
SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 02-15-2026,15.95,2.66,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-15.95,120244007697680350,120244005869910350,1400488071021805
SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 02-15-2026,440.33,2,5,88.07,5,88.07,7,62.90,-,0,-,0,0,0,0,0,-440.33,120244007879860350,120244007879920350,1400488071021805
Hook5 | TruckMovingUSA | CHK2_StartingAt1597 | CB1_Savings | 10-16-2025,31.23,1.49,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-31.23,120237459188090350,120235716942630350,1400488071021805
SC1_LongDistance1597 | SV1_TruckSide | CHK4_WeGotYouCovered | CB2_StressFree | 09-15-2025,676.27,7.51,11,61.48,9,75.14,0,0,-,0,-,0,0,0,0,0,-676.27,120235716942620350,120235716942630350,1400488071021805
SC5_MovingChecklist | SV7_AppleNote | CHK3_StressFreeLongDistance | CB2_StressFree | 09-28-2025,1667.26,4.85,19,87.75,16,104.20,4,416.82,2,833.63,-,0,0,0,0,0,-1667.26,120236419833820350,120236419833750350,1400488071021805
SC1_LongDistance1597 | SV2_TruckSide2 | CHK1_SaveUpTo50 | CB1_Savings | 09-22-2025,136.54,8.03,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-136.54,120236168195450350,120236168195430350,1400488071021805
SC4_CityPrices | SV6_TruckFreeway | CHK1_SaveUpTo50 | CB3_CostSavings | 1-26-2026,299.69,0.18,1,299.69,1,299.69,0,0,-,0,-,0,0,0,0,0,-299.69,120243179130670350,120243179130590350,1400488071021805
SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 01-26-2026,678.31,0.63,11,61.66,8,84.79,3,226.10,2,339.16,-,0,0,0,0,0,-678.31,120243179130670350,120243179130590350,1400488071021805
SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 01-26-2026,168.60,0.50,2,84.30,1,168.60,2,84.30,1,168.60,-,0,0,0,0,0,-168.60,120243179130670350,120243179130590350,1400488071021805
SC4_CityPrices | SV6_TruckFreeway | CHK2_StartingAt1597 | CB3_CostSavings | 1-26-2026,121.06,0.30,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-121.06,120243179130670350,120243179130590350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 2-8-2026,72.99,6.64,2,36.50,2,36.50,0,0,-,0,-,0,0,0,0,0,-72.99,120243700506360350,120243697019070350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 2-8-2026,17.77,8.89,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-17.77,120243805478690350,120243805478550350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 2-4-2026,141.07,7.84,5,28.21,4,35.27,3,47.02,2,70.54,-,0,0,0,0,0,-141.07,120243579426010350,120243579426030350,1400488071021805
VAM Crew Members - Organic Looking 2 - CID3HKSZUJ | CHK1_SaveUpTo50 | CB1_Savings | 02-15-2026,213.72,6.11,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-213.72,120244014031790350,120235716942630350,1400488071021805
Done For You - Problem-Solution Lead 7 - CIDDG30R3P | CHK20_Movinga3+bedroom | CB9_3BR-POSITIONINGANGLE | 02-26-2026,27.08,0.46,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-27.08,120244621374660350,120244621144460350,1400488071021805
SC11_FlyingFunny | SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 1-26-2026,215.16,0.61,2,107.58,1,215.16,5,43.03,-,0,1,215.16,0,0,0,0,-215.16,120243179130670350,120243179130590350,1400488071021805
3BR Customer Relief - Offer Lead 2 - CIDUX2WTW0 | CB7_MovingA2Bedroom | 02-23-2026,3.05,1.02,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-3.05,120244295994260350,120244295994470350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK8_SaveOnNationwide | CB5_LongDistanceMoves | 2-2-2026,124.64,11.33,5,24.93,2,62.32,2,62.32,-,0,-,0,0,0,0,0,-124.64,120243426340970350,120235716942630350,1400488071021805
SC38_FromSchedulingtoDeliveryV1 | SV20_HoldingSignWoman | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026,46.18,2.57,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-46.18,120242669388090350,120235716942630350,1400488071021805
SC39_FromSchedulingtoDeliveryV2 | SV20_HoldingSignWoman | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026,66.80,4.77,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-66.80,120242669388090350,120235716942630350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK20_Movinga3+bedroom | CB9_3BR-POSITIONINGANGLE | 02-26-2026,328.82,6.32,6,54.80,6,54.80,8,41.10,1,328.82,1,328.82,0,0,0,0,-328.82,120244621374660350,120244621144460350,1400488071021805
SC36_ArrivedFlawlessV1 | SV19_HoldingSignFamily | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026,59.99,2.50,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-59.99,120242669388090350,120235716942630350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK21_PlanningAcross-country | CB9_3BR-POSITIONINGANGLE | 02-26-2026,805.11,9.15,11,73.19,11,73.19,8,100.64,-,0,2,402.56,0,0,0,0,-805.11,120244621374650350,120244621144460350,1400488071021805
SC40_GentlyandCorreclyV1 | SV21_HoldingSignCouple | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026,44.17,2.45,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-44.17,120242669388090350,120235716942630350,1400488071021805
3BR Owner Stories - Offer Lead 4 - CIDTL4T5XA | CB7_MovingA2Bedroom | 02-23-2026,22.22,1.31,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-22.22,120244288534710350,120235716942630350,1400488071021805
SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 02-18-2026,55.66,7.95,1,55.66,1,55.66,0,0,-,0,-,0,0,0,0,0,-55.66,120244164912000350,120244164912290350,1400488071021805
Done For You - Problem-Solution Lead 8 - CIDP5JTM1Z | CB7_MovingA2Bedroom | 02-23-2026,24.75,4.95,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-24.75,120244296367910350,120244296367860350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 11-16-2025,1265.30,1.07,14,90.38,12,105.44,5,253.06,-,0,3,421.77,0,0,0,0,-1265.30,120239373156260350,120239373156250350,1400488071021805
Done For You - Problem-Solution Lead 9 - CIDE5XBSEZ | CB7_MovingA2Bedroom | 02-23-2026,3.78,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-3.78,120244296367940350,120244296367860350,1400488071021805
Done For You - Problem-Solution Lead 9 - CIDE5XBSEZ | CB7_MovingA2Bedroom | 02-23-2026,23.41,3.34,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-23.41,120244296367910350,120244296367860350,1400488071021805
SC23_LongDistance1597HolidayV2CTA1 | SV17_TruckBackHolidayV2 | CHK5_HolidayMoves$1597 | CB4_HolidayDirect | 12-9-2025,109.38,2.49,1,109.38,1,109.38,0,0,-,0,-,0,0,0,0,0,-109.38,120240988242510350,120235716942630350,1400488071021805
VAM Crew Members - Organic Looking 1 - CIDQG45LVZ | CHK19_MovingA34Bedroom | CB9_3BR-POSITIONINGANGLE | 02-26-2026,258.29,2.35,2,129.14,2,129.14,1,258.29,1,258.29,-,0,0,0,0,0,-258.29,120244621144520350,120244621144460350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 02-15-2026,21.48,10.74,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-21.48,120244007697680350,120244005869910350,1400488071021805
3BR Customer Relief - Offer Lead 2 - CIDUX2WTW0 | CB7_MovingA2Bedroom | 02-23-2026,19.52,2.44,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-19.52,120244292141040350,120235716942630350,1400488071021805
SC1_LongDistance1597 | SV2_TruckSide2 | CHK4_WeGotYouCovered | CB2_StressFree | 2-4-2026,22.90,0.36,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-22.90,120243579613250350,120243579613300350,1400488071021805
Done For You - Problem-Solution Lead 6 - CIDBTPT5T7 | CB7_MovingA2Bedroom | 02-23-2026,45.99,11.50,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-45.99,120244296367890350,120244296367860350,1400488071021805
Done For You - Problem-Solution Lead 8 - CIDP5JTM1Z | CB7_MovingA2Bedroom | 02-23-2026,24.53,8.18,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-24.53,120244296367900350,120244296367860350,1400488071021805
Done For You - Problem-Solution Lead 7 - CIDDG30R3P | CB7_MovingA2Bedroom | 02-23-2026,3.67,0,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-3.67,120244296367890350,120244296367860350,1400488071021805
SC8_Dodged4kBill | SV8_Gmail | CHK21_PlanningAcross-country | CB9_3BR-POSITIONINGANGLE | 02-26-2026,112.70,3.52,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-112.70,120244621374650350,120244621144460350,1400488071021805
SC6_MovingLongDistance | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 11-16-2025,237.55,1.68,2,118.78,2,118.78,0,0,-,0,-,0,0,0,0,0,-237.55,120239373156260350,120239373156250350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 11-16-2025,83.42,0.70,1,83.42,1,83.42,0,0,-,0,-,0,0,0,0,0,-83.42,120239373156260350,120239373156250350,1400488071021805
SC15_MovingCallPricing | SV3_TruckBack | CHK5_CallNow | CB2_StressFree | 11-11-2025,509.42,10.40,1,509.42,1,509.42,0,0,-,0,-,0,0,0,0,0,-509.42,120239089857380350,120235716942630350,1400488071021805
SC15_MovingCallPricing | SV3_TruckBack | CHK3_StressFreeLongDistance | CB2_StressFree | 11-11-2025,1277.13,6.39,16,79.82,14,91.22,6,212.86,3,425.71,1,1277.13,0,0,0,0,-1277.13,120239089857380350,120235716942630350,1400488071021805
SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 11-16-2025,111.45,1.53,3,37.15,2,55.73,1,111.45,-,0,1,111.45,0,0,0,0,-111.45,120239373156260350,120239373156250350,1400488071021805
Hook2 | TruckMovingUSA | CHK2_StartingAt1597 | CB3_CostSavings | 11-16-2025,660.82,0.45,6,110.14,4,165.21,6,110.14,4,165.21,-,0,0,0,0,0,-660.82,120239373156260350,120239373156250350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 10-28-2025,27.54,2.75,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-27.54,120238257079190350,120238257079220350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 10-28-2025,231.05,2.72,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-231.05,120238257079190350,120238257079220350,1400488071021805
SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 10-28-2025,446.44,6.57,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-446.44,120238257079190350,120238257079220350,1400488071021805
SC8_Dodged4kBill | SV8_Gmail | CHK24_BeforeVAM | CB10_3BR-SOCIALPROOFANGLE | 02-26-2026,39.39,6.57,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-39.39,120244621375000350,120244621144460350,1400488071021805
3BR Customer Relief - Offer Lead 7 - CIDA7W1DSK | CB7_MovingA2Bedroom | 02-23-2026,33.60,3.05,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-33.60,120244295519780350,120244295519740350,1400488071021805
SC82_AlmostPaid3k | SV31_AppleNoteLight | CB1_Savings | 02-18-2026,631.66,3.47,9,70.18,9,70.18,5,126.33,2,315.83,1,631.66,0,0,0,0,-631.66,120244165896270350,120244165896280350,1400488071021805
VHK14_StressFreeMove | VB1_NoBody | VV5_TruckAcrossUSSantaHat | CHK5_HolidayMoves$1597 | CB4_HolidayDirect | 12-11-2025,120.65,2.19,7,17.24,1,120.65,6,20.11,-,0,1,120.65,0,0,0,0,-120.65,120241095797040350,120235716942630350,1400488071021805
SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 10-06-2025,426.09,1.54,10,42.61,9,47.34,0,0,-,0,-,0,0,0,0,0,-426.09,120236977003600350,120236977003610350,1400488071021805
SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 2-8-2026,321.17,7.30,11,29.20,8,40.15,5,64.23,1,321.17,1,321.17,0,0,0,0,-321.17,120243700368960350,120243697019070350,1400488071021805
VHK25_Barbara | VB8_AnotherHappyCustomer | VV13_IGTestimonial | CHK3_StressFreeLongDistance | CB2_StressFree | 1-29-2026,582.99,1.53,10,58.30,5,116.60,5,116.60,1,582.99,2,291.50,0,0,0,0,-582.99,120243382714840350,120235716942630350,1400488071021805
3BR Customer Relief - Offer Lead 9 - CIDRPFL60W | CB7_MovingA2Bedroom | 02-23-2026,236.47,1.83,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-236.47,120244292141040350,120235716942630350,1400488071021805
Hook2 | TruckMovingUSA | CHK2_StartingAt1597 | CB1_Savings | 10-16-2025,163.06,2.43,4,40.77,1,163.06,1,163.06,-,0,1,163.06,0,0,0,0,-163.06,120237459188090350,120235716942630350,1400488071021805
SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 2-8-2026,670.33,8.49,12,55.86,7,95.76,9,74.48,-,0,3,223.44,0,0,0,0,-670.33,120243700189310350,120243697019070350,1400488071021805
SC83_HowMoversSneakExtraFees | SV31_AppleNoteLight | CHK6_CheckRate | CB1_Savings | 02-18-2026,59.95,5,1,59.95,1,59.95,2,29.98,-,0,-,0,0,0,0,0,-59.95,120244165896270350,120244165896280350,1400488071021805
SC9_AlmostPaidDouble | SV8_Gmail | CHK1_SaveUpTo50 | CB1_Savings | 10-28-2025,81.30,5.08,2,40.65,2,40.65,0,0,-,0,-,0,0,0,0,0,-81.30,120238257079190350,120238257079220350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 2-8-2026,61.04,15.26,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-61.04,120243700368960350,120243697019070350,1400488071021805
SC8_Dodged4kBill | SV8_Gmail | CHK1_SaveUpTo50 | CB3_CostSavings | 10-28-2025,159.21,2.07,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-159.21,120238257079190350,120238257079220350,1400488071021805
SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 2-8-2026,797.31,4.95,9,88.59,9,88.59,2,398.66,2,398.66,1,797.31,0,0,0,0,-797.31,120243700368960350,120243697019070350,1400488071021805
SC14_AlmostOverpaid _ SV8_Gmail_Dark | CHK2_StartingAt1597 | CB1_Savings | 10-14-2025,11.82,3.94,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-11.82,120237331390400350,120235716942630350,1400488071021805
SC18_SaveMoveToday | SV3_TruckBack | CHK5_CallNow | CB2_StressFree | 11-11-2025,1461.10,5.11,22,66.41,15,97.41,4,365.28,-,0,2,730.55,0,0,0,0,-1461.10,120239089108470350,120235716942630350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 2-8-2026,51.04,12.76,1,51.04,1,51.04,0,0,-,0,-,0,0,0,0,0,-51.04,120243700189310350,120243697019070350,1400488071021805
SC83_HowMoversSneakExtraFees | SV31_AppleNoteLight | CB1_Savings | 02-23-2026,29.89,9.96,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-29.89,120244295519780350,120244295519740350,1400488071021805
SC14_AlmostOverpaid _ SV8_Gmail_Dark | CHK4_WeGotYouCovered | CB2_StressFree | 10-14-2025,19.97,6.66,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-19.97,120237331390400350,120235716942630350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK1_SaveUpTo50 | CB3_CostSavings | 10-28-2025,133.34,4.17,2,66.67,2,66.67,0,0,-,0,-,0,0,0,0,0,-133.34,120238257079190350,120238257079220350,1400488071021805
SC14_AlmostOverpaid _ SV8_Gmail_White | CHK2_StartingAt1597 | CB3_CostSavings | 10-14-2025,84.23,3.66,1,84.23,1,84.23,0,0,-,0,-,0,0,0,0,0,-84.23,120237331390400350,120235716942630350,1400488071021805
SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 2-8-2026,641.90,5.84,9,71.32,7,91.70,2,320.95,1,641.90,1,641.90,0,0,0,0,-641.90,120243700506360350,120243697019070350,1400488071021805
SC14_AlmostOverpaid _ SV8_Gmail_Dark | CHK2_StartingAt1597 | CB3_CostSavings | 10-14-2025,491.04,5.22,6,81.84,5,98.21,1,491.04,-,0,1,491.04,0,0,0,0,-491.04,120237331390400350,120235716942630350,1400488071021805
SC14_AlmostOverpaid_ SV8_Gmail_White | CHK2_StartingAt1597 | CB1_Savings | 10-14-2025,80.10,4.45,1,80.10,1,80.10,0,0,-,0,-,0,0,0,0,0,-80.10,120237331390400350,120235716942630350,1400488071021805
SC18_SaveMoveToday | SV3_TruckBack | CHK3_StressFreeLongDistance | CB2_StressFree | 11-11-2025,409.42,3.97,3,136.47,2,204.71,0,0,-,0,-,0,0,0,0,0,-409.42,120239089108470350,120235716942630350,1400488071021805
SC49_LimitedTime | SV24_TruckBackNY | CHK1_SaveUpTo50 | CB1_Savings | 01-11-2026,53.01,3.12,2,26.51,1,53.01,2,26.51,1,53.01,-,0,0,0,0,0,-53.01,120242668201460350,120235716942630350,1400488071021805
3BR Owner Stories - Offer Lead 9 - CIDUF6LRV7 | CB7_MovingA2Bedroom | 02-23-2026,8.71,1.24,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-8.71,120244295526900350,120244295527190350,1400488071021805
Visual Move Proof - Offer Lead 3 - CIDAD21588 | CHK1_SaveUpTo50 | CB1_Savings | 02-17-2026,15.80,2.26,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-15.80,120244123930120350,120235716942630350,1400488071021805
SC102_ACommonMistake | SV11_TwitterStyleLight | CHK1_SaveUpTo50 | CB1_Savings | 2-10-2026,8.82,2.21,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-8.82,120243806573790350,120235716942630350,1400488071021805
SC102_ACommonMistake | SV11_TwitterStyleLight | CHK1_SaveUpTo50 | CB1_Savings | 2-10-2026,76.89,2.33,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-76.89,120243806573790350,120235716942630350,1400488071021805
SC103_MostLongDistanceMoves | SV10_TwitterStyleDark | CHK1_SaveUpTo50 | CB1_Savings | 2-10-2026,13.83,1.15,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-13.83,120243806573790350,120235716942630350,1400488071021805
SC103_MostLongDistanceMoves | SV11_TwitterStyleLight | CHK1_SaveUpTo50 | CB1_Savings | 2-10-2026,88.53,1.41,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-88.53,120243806573790350,120235716942630350,1400488071021805
SC101_IfTwoLongDistance | SV11_TwitterStyleLight | CHK1_SaveUpTo50 | CB1_Savings | 2-10-2026,56.66,2.70,2,28.33,2,28.33,2,28.33,-,0,-,0,0,0,0,0,-56.66,120243806573790350,120235716942630350,1400488071021805
SC101_IfTwoLongDistance | SV10_TwitterStyleDark | CHK1_SaveUpTo50 | CB1_Savings | 2-10-2026,45.31,3.02,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-45.31,120243806573790350,120235716942630350,1400488071021805
SC104_IfYoureHiringMovers | SV10_TwitterStyleDark | CHK1_SaveUpTo50 | CB1_Savings | 2-10-2026,26.67,0.67,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-26.67,120243806573790350,120235716942630350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK4_WeGotYouCovered | CB2_StressFree | 10-06-2025,178.51,1.64,6,29.75,6,29.75,0,0,-,0,-,0,0,0,0,0,-178.51,120236977003600350,120236977003610350,1400488071021805
Done For You - Problem-Solution Lead 6 - CIDBTPT5T7 | CB7_MovingA2Bedroom | 02-23-2026,117.47,2.40,2,58.74,2,58.74,5,23.49,-,0,-,0,0,0,0,0,-117.47,120244296367940350,120244296367860350,1400488071021805
Moving Cost Clarity - Offer Lead 9 - CID4NPZBAG | CB7_MovingA2Bedroom | 02-26-2026,400.83,5.89,4,100.21,3,133.61,1,400.83,-,0,-,0,0,0,0,0,-400.83,120244614680650350,120235716942630350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 10-06-2025,69.15,2.77,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-69.15,120236977003600350,120236977003610350,1400488071021805
SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB1_Savings | 10-06-2025,190.35,1.92,5,38.07,2,95.18,0,0,-,0,-,0,0,0,0,0,-190.35,120236977003600350,120236977003610350,1400488071021805
SC80_HowtoAvoid | SV30_EducationalLayout | CHK1_SaveUpTo50 | CB1_Savings | 1-28-2026,79.61,2.95,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-79.61,120243308988760350,120235716942630350,1400488071021805
SC12_FinalCheck _ SV8_Gmail_Dark | CHK2_StartingAt1597 | CB3_CostSavings | 10-14-2025,36.42,6.07,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-36.42,120237330845510350,120235716942630350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 2-8-2026,320.23,2.99,4,80.06,3,106.74,2,160.12,-,0,1,320.23,0,0,0,0,-320.23,120243700609320350,120243697019070350,1400488071021805
SC1_LongDistance1597 | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 2-4-2026,41.80,0.43,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-41.80,120243579613250350,120243579613300350,1400488071021805
SC5_MovingChecklist | SV7_AppleNote | CHK3_StressFreeLongDistance | CB2_StressFree | 2-4-2026,33.86,0.51,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-33.86,120243579613250350,120243579613300350,1400488071021805
SC8_Dodged4kBill | SV8_Gmail | CHK22_MovingYourEntire | CB9_3BR-POSITIONINGANGLE | 02-26-2026,45.34,3.02,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-45.34,120244621374680350,120244621144460350,1400488071021805
No Ghosting - Offer Lead 1 - CIDNBTUF8H | CHK1_SaveUpTo50 | CB1_Savings | 02-25-2026,280.47,1.14,2,140.24,2,140.24,2,140.24,2,140.24,-,0,0,0,0,0,-280.47,120244563569310350,120235716942630350,1400488071021805
3BR Customer Relief - Offer Lead 8 - CID1BKK728 | CB7_MovingA2Bedroom | 02-23-2026,16.70,2.78,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-16.70,120244292141040350,120235716942630350,1400488071021805
SC4_CityPrices | SV6_TruckFreeway | CHK2_StartingAt1597 | CB3_CostSavings | 1-11-2026,72.44,8.05,1,72.44,1,72.44,1,72.44,1,72.44,-,0,0,0,0,0,-72.44,120242670974250350,120242670974220350,1400488071021805
VAM Crew Members - Organic Looking 1 - CIDQG45LVZ | CHK22_MovingYourEntire | CB9_3BR-POSITIONINGANGLE | 02-26-2026,20.36,20.36,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-20.36,120244621374680350,120244621144460350,1400488071021805
SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 11-10-2025,1124.11,1.51,7,160.59,5,224.82,3,374.70,1,1124.11,-,0,0,0,0,0,-1124.11,120239080810830350,120239080810890350,1400488071021805
SC1_LongDistance1597 | SV2_TruckSide2 | CHK2_StartingAt1597 | CB1_Savings | 10-06-2025,39.64,0.86,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-39.64,120236977003600350,120236977003610350,1400488071021805
SC5_MovingChecklist | SV7_AppleNote | CHK2_StartingAt1597 | CB3_CostSavings | 10-06-2025,67.53,1.25,1,67.53,1,67.53,0,0,-,0,-,0,0,0,0,0,-67.53,120236977003600350,120236977003610350,1400488071021805
SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 10-28-2025,129.90,2.32,1,129.90,1,129.90,0,0,-,0,-,0,0,0,0,0,-129.90,120238257079190350,120238257079220350,1400488071021805
SC6_MovingLongDistance | SV3_TruckBack | CHK2_StartingAt1597 | CB3_CostSavings | 10-06-2025,88.36,1.55,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-88.36,120236977003600350,120236977003610350,1400488071021805
SC88_CityPricesV4 | SV6_TruckFreeway | CHK1_SaveUpTo50 | CB1_Savings | 02-23-2026,107.99,4.70,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-107.99,120244295519780350,120244295519740350,1400488071021805
SC5_MovingChecklist | SV7_AppleNote | CHK2_StartingAt1597 | CB1_Savings | 10-06-2025,121.45,0.85,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-121.45,120236977003600350,120236977003610350,1400488071021805
SC2_WellMoveEverything | SV5_AppleNoteLinkCTA | CHK2_StartingAt1597 | CB1_Savings | 10-06-2025,94.99,1.13,1,94.99,1,94.99,0,0,-,0,-,0,0,0,0,0,-94.99,120236977003600350,120236977003610350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK1_SaveUpTo50 | CB3_CostSavings | 10-06-2025,306.94,1.08,5,61.39,4,76.74,1,306.94,1,306.94,-,0,0,0,0,0,-306.94,120236977003600350,120236977003610350,1400488071021805
SC7_CheckThis | SV8_Gmail | CHK3_StressFreeLongDistance | CB2_StressFree | 10-06-2025,210.38,1.74,4,52.60,4,52.60,0,0,-,0,-,0,0,0,0,0,-210.38,120236977003600350,120236977003610350,1400488071021805
SC1_LongDistance1597 | SV2_TruckSide2 | CHK1_SaveUpTo50 | CB1_Savings | 10-06-2025,37.57,1.21,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-37.57,120236977003600350,120236977003610350,1400488071021805
3BR Customer Relief - Offer Lead 8 - CID1BKK728 | CB7_MovingA2Bedroom | 02-23-2026,15.05,1.88,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-15.05,120244295994260350,120244295994470350,1400488071021805
