Name,Cost,Cost per Click,Leads,Cost per Lead,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,ROAS,Profit,Ad Set ID,Category ID,Account ID
3BR Owner Stories - Offer Lead 8 - CID31QDI0T | CB7_MovingA2Bedroom | 02-23-2026,29.55,0.72,1,29.55,0,0,0,0,-,0,-,0,0,0,0,0,-29.55,120244288534710350,120235716942630350,1400488071021805
Related Media | CHK4_WeGotYouCovered | CB2_StressFree | 01-18-2026,1931.29,1.87,129,14.97,79,24.45,8,241.41,1,1931.29,3,643.76,0,0,0,0,-1931.29,120242961150610350,120242961150600350,1400488071021805
Done For You - Problem-Solution Lead 2 - CID2Z5LX92 | CHK1_SaveUpTo50 | CB1_Savings | 02-17-2026,76.31,0.70,2,38.16,2,38.16,1,76.31,-,0,1,76.31,0,0,0,0,-76.31,120244123638720350,120235716942630350,1400488071021805
SC77_HowtoCompare | SV30_EducationalLayout | CHK1_SaveUpTo50 | CB1_Savings | 1-28-2026,152.79,4.13,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-152.79,120243308988760350,120235716942630350,1400488071021805
SC7_CheckThis | SV11_TwitterStyleLight | CHK2_StartingAt1597 | CB1_Savings | 2-4-2026,152.83,0.33,2,76.42,2,76.42,4,38.21,1,152.83,1,152.83,0,0,0,0,-152.83,120243576756120350,120243576756130350,1400488071021805
SC98_CarouselV3 | SV33_CopyAds | CHK1_SaveUpTo50 | CB1_Savings | 2-1-2026,347.31,3.25,7,49.62,3,115.77,4,86.83,-,0,-,0,0,0,0,0,-347.31,120243425983250350,120235716942630350,1400488071021805
SC96_CarouselV1 | SV33_CopyAds | CHK1_SaveUpTo50 | CB1_Savings | 2-1-2026,22.44,7.48,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-22.44,120243425983250350,120235716942630350,1400488071021805
Moving Cost Clarity - Offer Lead 1 - CID9Y6TGDB | CB7_MovingA2Bedroom | 02-25-2026,52.91,2.52,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-52.91,120244564976090350,120235716942630350,1400488071021805
SC97_CarouselV2 | SV33_CopyAds | CHK1_SaveUpTo50 | CB1_Savings | 2-1-2026,20.82,6.94,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-20.82,120243425983250350,120235716942630350,1400488071021805
SC95_SingleV5 | SV33_CopyAds | CHK1_SaveUpTo50 | CB1_Savings | 2-1-2026,165.35,0.92,5,33.07,2,82.68,0,0,-,0,-,0,0,0,0,0,-165.35,120243425969820350,120235716942630350,1400488071021805
Hook2 | TruckMovingUSA | CHK2_StartingAt1597 | CB3_CostSavings | 2-4-2026,12.15,6.08,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-12.15,120243579426010350,120243579426030350,1400488071021805
3BR Owner Stories - Offer Lead 3 - CIDOCC5C16 | CB7_MovingA2Bedroom | 02-23-2026,19.13,0.32,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-19.13,120244304936690350,120244304936700350,1400488071021805
3BR Customer Relief - Offer Lead 6 - CIDJPMAQAP | CB7_MovingA2Bedroom | 02-23-2026,5.74,5.74,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-5.74,120244295994240350,120244295994470350,1400488071021805
SC92_SingleV2 | SV33_CopyAds | CHK1_SaveUpTo50 | CB1_Savings | 2-1-2026,38.42,1.60,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-38.42,120243425969820350,120235716942630350,1400488071021805
VHK12_ProtectedTruck | VB1_NoBody | VV3_SideTruckAnimationV1 | CHK3_StressFreeLongDistance | CB2_StressFree | 11-16-2025,512.58,5.70,3,170.86,2,256.29,2,256.29,1,512.58,1,512.58,0,0,0,0,-512.58,120239374961410350,120235716942630350,1400488071021805
3BR Owner Stories - Offer Lead 6 - CIDL9E8ZPK | CB7_MovingA2Bedroom | 02-23-2026,38.86,2.16,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-38.86,120244288534710350,120235716942630350,1400488071021805
VHK9_MovingLongDistance | VB1_NoBody | VV3_SideTruckAnimationV1 | CHK3_StressFreeLongDistance | CB2_StressFree | 11-16-2025,85.30,3.55,0,0,0,0,0,0,-,0,-,0,0,0,0,0,-85.30,120239374961410350,120235716942630350,1400488071021805
Done For You - Problem-Solution Lead 9 - CIDE5XBSEZ | CB7_MovingA2Bedroom | 02-23-2026,93.48,0.53,1,93.48,0,0,0,0,-,0,-,0,0,0,0,0,-93.48,120244294202420350,120235716942630350,1400488071021805
