"Ad name","Amount spent (USD)",Impressions,"Clicks (all)","Link clicks","Reporting starts","Reporting ends"
"SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 02-15-2026",1123.4,18167,235,150,2025-09-15,2026-03-03
"Done For You - Problem-Solution Lead 5 - CID2V10TCW | CHK1_SaveUpTo50 | CB1_Savings | 02-17-2026",1117.2,14116,628,587,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK4_WeGotYouCovered | CB2_StressFree | 09-15-2025",1109.63,28952,535,334,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK18_Moving | CB8_BeforeYouBook | 2-2-2026",1068.85,31175,612,473,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK1_SaveUpTo50 | CB3_CostSavings | 09-30-2025",1067.79,27457,852,270,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 02-15-2026",1066.92,24023,434,197,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK1_SaveUpTo50 | CB3_CostSavings | 09-15-2025",1065.03,32201,1022,366,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK1_SaveUpTo50 | CB1_Savings | 09-30-2025",1028.32,23815,463,359,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 10-28-2025",1015.27,19744,447,238,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK8_SaveOnNationwide | CB5_LongDistanceMoves | 02-15-2026",997.62,22690,563,504,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 09-30-2025",991.12,32882,1094,285,2025-09-15,2026-03-03
"SC25_LongDistance1597HolidayV3CTA1 | SV17_TruckBackHolidayV2 | CHK5_HolidayMoves$1597 | CB4_HolidayDirect | 12-9-2025",957.19,13497,306,239,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 09-15-2025",948.08,24793,604,352,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 02-15-2026",947.01,20034,211,120,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 02-15-2026",936.61,48338,554,339,2025-09-15,2026-03-03
"SC6_MovingLongDistance | SV3_TruckBack | CHK3_StressFreeLongDistance | CB2_StressFree | 12-14-2025",931.46,9027,171,123,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK17_LongDistanceMoves | CB8_BeforeYouBook | 2-2-2026",901.46,22856,508,398,2025-09-15,2026-03-03
"SC5_MovingChecklist | SV7_AppleNote | CHK2_StartingAt1597 | CB1_Savings | 09-30-2025",900.77,17698,263,173,2025-09-15,2026-03-03
"SC33_CheckThisHolidayV3 | SV9_GmailLight | CHK5_HolidayMoves$1597 | CB4_HolidayDirect | 12-10-2025",897.49,29415,649,184,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 02-11-2026",894.8,24964,736,664,2025-09-15,2026-03-03
"VAM Crew Members - Organic Looking 1 - CIDQG45LVZ | CHK1_SaveUpTo50 | CB1_Savings | 02-23-2026",894.67,12471,416,306,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK2_StartingAt1597 | CB1_Savings | 10-14-2025",892.14,23306,442,180,2025-09-15,2026-03-03
"SC13_SavedMe _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 10-28-2025",887.21,19937,480,388,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 1-11-2026",875.32,22431,426,259,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 02-18-2026",855.77,25282,449,205,2025-09-15,2026-03-03
"SC11_FlyingFunny | SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | Related Media | 01-29-2026",852.22,37375,781,518,2025-09-15,2026-03-03
"VHK24_IThoughtMyMove | VB7_LessThanWhatIBudgeted | VV9_UGC_SavingsAngle_WhiteWoman | CHK3_StressFreeLongDistance | CB2_StressFree | 1-21-2026",850.85,8110,617,629,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB1_Savings | 09-30-2025",850.76,19462,307,192,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 09-30-2025",822.09,22005,637,186,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK21_PlanningAcross-country | CB9_3BR-POSITIONINGANGLE | 02-26-2026",820.07,11332,144,96,2025-09-15,2026-03-03
"SC9_AlmostPaidDouble | SV8_Gmail | CHK4_WeGotYouCovered | CB2_StressFree | 09-30-2025",818.21,15413,255,195,2025-09-15,2026-03-03
"SV14_PricingMapTruck | Carousel | CHK6_CheckRate | CB3_CostSavings | 2-8-2026",817.38,25510,298,186,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 10-14-2025",817.35,23719,423,260,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK2_StartingAt1597 | CB1_Savings | 09-30-2025",816.49,23576,445,281,2025-09-15,2026-03-03
"Moving Cost Clarity - Offer Lead 2 - CIDI9HB0RK | CB7_MovingA2Bedroom | 02-25-2026",809.09,16145,204,123,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 09-15-2025",804.15,21264,598,182,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK1_SaveUpTo50 | CB3_CostSavings | 09-15-2025",800.05,27404,948,272,2025-09-15,2026-03-03
"SC11_FlyingFunny _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 2-8-2026",797.37,26171,412,161,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK4_WeGotYouCovered | CB2_StressFree | 09-15-2025",789.4,25074,516,280,2025-09-15,2026-03-03
"SC2_WellMoveEverything | SV5_AppleNoteLinkCTA | CHK2_StartingAt1597 | CB3_CostSavings | 09-15-2025",778.86,15029,300,140,2025-09-15,2026-03-03
"SC5_MovingChecklist | SV7_AppleNote | CHK2_StartingAt1597 | CB3_CostSavings | 09-30-2025",768.84,16610,372,163,2025-09-15,2026-03-03
"VHK10_MovesStartingAt1597 | VB1_NoBody | VV3_SideTruckAnimationV1 | CHK3_StressFreeLongDistance | CB2_StressFree | 11-16-2025",764,9284,265,249,2025-09-15,2026-03-03
"SC4_CityPrices | SV6_TruckFreeway | CHK2_StartingAt1597 | CB3_CostSavings | 02-11-2026",762.25,33455,639,563,2025-09-15,2026-03-03
"SC8_Dodged4kBill | SV8_Gmail | CHK2_StartingAt1597 | CB3_CostSavings | 2-4-2026",755.51,19814,414,175,2025-09-15,2026-03-03
"SC2_WellMoveEverything | SV4_AppleNoteButtonCTA | CHK2_StartingAt1597 | CB1_Savings | 09-15-2025",753.8,13245,164,102,2025-09-15,2026-03-03
"SC3_WhyPayMore | SV5_AppleNoteLinkCTA | CHK1_SaveUpTo50 | CB3_CostSavings | 09-15-2025",752.81,12021,195,116,2025-09-15,2026-03-03
"SC1_LongDistance1597 | SV3_TruckBack | CHK1_SaveUpTo50 | CB1_Savings | 2-8-2026",746.73,4470,97,67,2025-09-15,2026-03-03
"SC7_CheckThis | SV8_Gmail | CHK4_WeGotYouCovered | CB2_StressFree | 09-30-2025",744.87,24438,476,254,2025-09-15,2026-03-03
"VHK20_Ialmostdidn't | VB5_BiggestWorry | VV10_UGC_CostAngle1_AsianWoman | CHK3_StressFreeLongDistance | CB2_StressFree | 1-21-2026",742.88,8859,810,857,2025-09-15,2026-03-03
"SC13_SavedMe _ SV8_Gmail_White | CHK4_WeGotYouCovered | CB2_StressFree | 11-10-2025",736.79,11478,1325,1404,2025-09-15,2026-03-03
