Launch Date,Status,,Ad Name,Cost,Leads,CPL,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,RPS,ROAS,Profit,CTR (all),CTR (link),CPM,Impressions,Clicks (all),Link Clicks,Closes,Cash Collected,Revenue
,,,SC25_LongDistance1597HolidayV3CTA1 | SV3_TruckBack,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
,,,SC26_LongDistance1597HolidayV3CTA2 | SV3_TruckBack,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/10/2025,Testing,,SC27_NYtoLA | SV14_PricingMapTruck,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/10/2025,Testing,,SC28_LAtoAustin | SV14_PricingMapTruck,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/10/2025,Testing,,SC29_ChicagotoPhoenix | SV14_PricingMapTruck,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/10/2025,Testing,,SC30_SFtoMiami | SV14_PricingMapTruck,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/10/2025,Testing,,SC31_SeattletoDallas | SV14_PricingMapTruck,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/10/2025,Testing,,SC27_NYtoLA | SV15_PricingVerticalSplit,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/10/2025,Testing,,SC28_LAtoAustin | SV15_PricingVerticalSplit,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/10/2025,Testing,,SC32_ChigatotoPhoenix | SV15_PricingVerticalSplit,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/10/2025,Testing,,SC30_SFtoMiami | SV15_PricingVerticalSplit,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/10/2025,Testing,,SC31_SeattletoDallas | SV15_PricingVerticalSplit,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
,,,SC21_LongDistance1597HolidayV1CTA1 | SV16_TruckBackHolidayV1,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
,,,SC22_LongDistance1597HolidayV1CTA2 | SV16_TruckBackHolidayV1,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
,,,SC23_LongDistance1597HolidayV2CTA1 | SV16_TruckBackHolidayV1,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
,,,SC24_LongDistance1597HolidayV2CTA2 | SV16_TruckBackHolidayV1,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
,,,SC25_LongDistance1597HolidayV3CTA1 | SV16_TruckBackHolidayV1,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
,,,SC26_LongDistance1597HolidayV3CTA2 | SV16_TruckBackHolidayV1,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/9/2025,Testing,,SC21_LongDistance1597HolidayV1CTA1 | SV17_TruckBackHolidayV2,$366.76,5,$73.35,4,$91.69,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$366.76,2.25%,1.85%,$60.60,"6,052",136,112,,,
12/9/2025,Testing,,SC22_LongDistance1597HolidayV1CTA2 | SV17_TruckBackHolidayV2,$400.75,15,$26.72,9,$44.53,4,$100.19,1,$400.75,2,$200.38,1,$400.75,$600.00,$600.00,1.50,$199.25,2.82%,2.60%,$71.86,"5,577",157,145,,,
12/9/2025,Testing,,SC23_LongDistance1597HolidayV2CTA1 | SV17_TruckBackHolidayV2,$109.38,1,$109.38,1,$109.38,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$109.38,2.80%,2.68%,$66.65,"1,641",46,44,,,
12/9/2025,Testing,,SC24_LongDistance1597HolidayV2CTA2 | SV17_TruckBackHolidayV2,$161.53,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$161.53,2.47%,2.18%,$65.29,"2,474",61,54,,,
12/9/2025,On the fence,,SC25_LongDistance1597HolidayV3CTA1 | SV17_TruckBackHolidayV2,$957.19,18,$53.18,13,$73.63,3,$319.06,1,$957.19,1,$957.19,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$957.19,2.27%,1.77%,$70.92,"13,497",306,239,,,
12/9/2025,Testing,,SC26_LongDistance1597HolidayV3CTA2 | SV17_TruckBackHolidayV2,$176.53,3,$58.84,2,$88.27,1,$176.53,0,#DIV/0!,1,$176.53,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$176.53,3.16%,2.88%,$61.36,"2,877",91,83,,,
12/10/2025,Winner,,SC33_CheckThisHolidayV3 | SV9_GmailLight,$897.49,21,$42.74,15,$59.83,2,$448.75,0,#DIV/0!,1,$897.49,2,$448.75,"$1,841.98",$920.99,2.05,$944.49,2.21%,0.63%,$30.51,"29,415",649,184,,,
12/10/2025,Testing,,SC33_CheckThisHolidayV3 | SV13_GmailDark,$19.87,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$19.87,1.46%,0.83%,$41.31,481,7,4,,,
12/10/2025,Testing,,SC34_CheckThisHolidayV4 | SV9_GmailLight,$124.23,4,$31.06,1,$124.23,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$124.23,3.30%,0.91%,$40.53,"3,065",101,28,,,
12/10/2025,Testing,,SC34_CheckThisHolidayV4 | SV13_GmailDark,$16.81,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$16.81,0.91%,0.68%,$38.12,441,4,3,,,
12/10/2025,Testing,,SC35_CheckThisHolidayV5 | SV9_GmailLight,$53.63,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$53.63,2.25%,0.37%,$28.06,"1,911",43,7,,,
12/10/2025,Testing,,SC35_CheckThisHolidayV5 | SV13_GmailDark,$78.24,2,$39.12,1,$78.24,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$78.24,2.59%,1.02%,$39.76,"1,968",51,20,,,
12/9/2025,,,SC21_LongDistance1597HolidayV1CTA1 | SV18_TruckBackHolidayV3,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/9/2025,,,SC22_LongDistance1597HolidayV1CTA2 | SV18_TruckBackHolidayV3,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/9/2025,,,SC23_LongDistance1597HolidayV2CTA1 | SV18_TruckBackHolidayV3,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/9/2025,,,SC24_LongDistance1597HolidayV2CTA2 | SV18_TruckBackHolidayV3,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/9/2025,,,SC25_LongDistance1597HolidayV3CTA1 | SV18_TruckBackHolidayV3,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
12/9/2025,,,SC26_LongDistance1597HolidayV3CTA2 | SV18_TruckBackHolidayV3,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,
1/11/2026,Loser,,SC36_ArrivedFlawlessV1 | SV19_HoldingSignFamily,$59.99,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$59.99,3.17%,2.71%,$67.86,884,28,24,,,
1/11/2026,Loser,,SC37_ArrivedFlawlessV2 | SV19_HoldingSignFamily,$12.39,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$12.39,0.60%,1.20%,$74.19,167,1,2,,,
1/11/2026,Loser,,SC38_FromSchedulingtoDeliveryV1 | SV20_HoldingSignWoman,$46.18,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$46.18,2.75%,2.61%,$66.93,690,19,18,,,
1/11/2026,Loser,,SC39_FromSchedulingtoDeliveryV2 | SV20_HoldingSignWoman,$66.80,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$66.80,3.74%,2.91%,$138.88,481,18,14,,,
1/11/2026,Loser,,SC40_GentlyandCorreclyV1 | SV21_HoldingSignCouple,$44.17,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$44.17,3.49%,3.70%,$90.70,487,17,18,,,
1/11/2026,Loser,,SC41_GentlyandCorreclyV2 | SV21_HoldingSignCouple,$37.33,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$37.33,3.61%,3.61%,$149.92,249,9,9,,,
1/11/2026,Testing,,SC42_ChooseDateLater | SV22_TruckCalendar,$232.03,4,$58.01,3,$77.34,1,$232.03,0,#DIV/0!,1,$232.03,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$232.03,3.14%,2.65%,$102.62,"2,261",71,60,,,
1/11/2026,Testing,,SC43_MoveTimeline | SV22_TruckCalendar,$335.49,5,$67.10,2,$167.75,2,$167.75,0,#DIV/0!,1,$335.49,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$335.49,2.41%,2.24%,$112.35,"2,986",72,67,,,
1/11/2026,Testing,,SC44_NoCopy | SV23_BeforeAndAfter,$366.53,10,$36.65,8,$45.82,22,$16.66,1,$366.53,2,$183.27,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$366.53,2.85%,1.23%,$74.08,"4,948",141,61,,,
1/11/2026,Testing,,SC45_MoreWorkThanYouThink | SV23_BeforeAndAfter,$58.59,1,$58.59,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,0.00,-$58.59,4.84%,4.50%,$101.37,578,28,26,,,
