Launch Date,Status,Ad Name,Cost,Leads,CPL,New Leads,Cost per New Lead,Calls,Cost per Call,Stage: Incoming Call,cost per incoming call,Stage: Connected Call,cost per connected call,Sales,Cost per Sale,Revenue,RPS,ROAS,Profit,CTR (all),CTR (link),CPM,Impressions,Clicks (all),Link Clicks,Closes,Cash Collected,Revenue,REV ROAS,Impressions,3 Sec Views,Video Plays at 25%,Video Plays at 50%,Video Plays at 75%,Video Plays at 100%,ThruPlays,Clicks,LP Views,Leads,Applications,Qualified Applications,Booked Calls,Shown Calls,Closes,Cash Collected,Revenue
1/5/2025,Winner,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/2026,Testing,CHK23_IWasAbout | CB10_3BR-SOCIALPROOFANGLE,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
2/26/2026,Testing,CHK24_BeforeVAM | CB10_3BR-SOCIALPROOFANGLE,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
2/26/2026,Testing,CHK25_WhatFamiliesSay | CB10_3BR-SOCIALPROOFANGLE,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/2/2026,Testing,CHK26_MostPeopleThink | CB11_3BR-EDUCATIONALVALUEANGLE,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/2/2026,Testing,CHK27_34BedroomCross-country | CB11_3BR-EDUCATIONALVALUEANGLE,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/2/2026,Testing,CHK28_WhatYouGet | CB11_3BR-EDUCATIONALVALUEANGLE,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/2/2026,Testing,CHK29_PlanningSprings | CB12_3BR-URGENCY/SEASONAL ANGLE,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/2/2026,Testing,CHK30_MovingYour+3B | CB12_3BR-URGENCY/SEASONAL ANGLE,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/2/2026,Testing,CHK31_Aren'tAllBrokersSame | CB13_3BR-OBJECTIONHANDLINGANGLE,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/2/2026,Testing,CHK32_NervousAboutHiring | CB13_3BR-OBJECTIONHANDLINGANGLE,$0.00,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,$0.00,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,,,,,,,,,,,,,,,,,,,,,
