Timeline,Date,Spend,Impressions,CPM,Reach,Clicks (all),CTR (all),CPC (all),Clicks (link),CTR (link),CPC (link),Leads,CPL,New Leads,CPNL,Raw Calls ,CPCall,Connected Calls,CPConnected,Connected %,Sales - Book Date,CPA - Book Date,Lead To Close %,Raw Call Close %,Connected Call to Close %,Cash - Book Date,Cash ROAS - Book Date,Sales - Open Date,CPA - Open Date,Cash - Open Date,Cash ROAS - Open Date,
Thursday,"February 19, 2026","$7,713.45","248,819",$31.00,"163,634","3,893",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,82,$94.07,80,$96.42,18,$428.53,9,$857.05,50.00%,3,"$2,571.15",3.66%,16.67%,33.33%,"$9,195.26",1.19,4,"$1,928.36","$6,845.00",0.89,
Friday,"February 20, 2026","$6,116.56","181,322",$33.73,"121,362","3,152",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,68,$89.95,83,$73.69,24,$254.86,10,$611.66,41.67%,7,$873.79,10.29%,29.17%,70.00%,"$10,958.00",1.79,4,"$1,529.14","$4,392.00",0.72,
Saturday,"February 21, 2026","$4,816.45","136,007",$35.41,"94,678","2,225",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,62,$77.68,72,$66.90,29,$166.08,15,$321.10,51.72%,5,$963.29,8.06%,17.24%,33.33%,"$9,129.69",1.90,5,$963.29,"$13,049.79",2.71,
Sunday,"February 22, 2026","$5,520.50","157,262",$35.10,"110,538","2,730",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,84,$65.72,93,$59.36,25,$220.82,11,$501.86,44.00%,5,"$1,104.10",5.95%,20.00%,45.45%,"$12,754.14",2.31,6,$920.08,"$10,353.49",1.88,
Monday,"February 23, 2026","$9,847.03","300,317",$32.79,"195,459","8,774",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,96,$102.57,111,$88.71,32,$307.72,19,$518.26,59.38%,9,"$1,094.11",9.38%,28.13%,47.37%,"$14,802.34",1.50,7,"$1,406.72","$11,539.11",1.17,
Tuesday,"February 24, 2026","$9,012.61","226,711",$39.75,"155,363","4,088",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,91,$99.04,103,$87.50,34,$265.08,16,$563.29,47.06%,5,"$1,802.52",5.49%,14.71%,31.25%,"$14,104.86",1.57,5,"$1,802.52","$16,862.83",1.87,
Wednesday,"February 25, 2026","$9,771.14","215,755",$45.29,"143,842","6,422",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,78,$125.27,95,$102.85,36,$271.42,24,$407.13,66.67%,8,"$1,221.39",10.26%,22.22%,33.33%,"$16,631.14",1.70,3,"$3,257.05","$3,233.13",0.33,
Thursday,"February 26, 2026","$9,305.11","233,922",$39.78,"159,516","4,982",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,94,$98.99,105,$88.62,34,$273.68,20,$465.26,58.82%,9,"$1,033.90",9.57%,26.47%,45.00%,"$10,779.48",1.16,8,"$1,163.14","$16,367.01",1.76,
Friday,"February 27, 2026","$9,555.59","231,652",$41.25,"161,260","4,822",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,59,$161.96,60,$159.26,28,$341.27,13,$735.05,46.43%,1,"$9,555.59",1.69%,3.57%,7.69%,"$3,021.00",0.32,2,"$4,777.80","$2,272.00",0.24,
Saturday,"February 28, 2026","$5,865.01","165,919",$35.35,"116,375","2,975",#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,58,$101.12,85,$69.00,26,$225.58,8,$733.13,30.77%,3,"$1,955.00",5.17%,11.54%,37.50%,"$3,160.13",0.54,1,"$5,865.01",$888.13,0.15,
